166,7,13,ACTIVA,1,LOTE 1B,0,4.56158301,-72.77632198,2062054.2842,5024801.58247,
167,7,14,ACTIVA,1,LOTE 1B,0,4.56164471,-72.77639690,2062061.0987,5024793.27342,
168,7,15,ACTIVA,1,LOTE 1B,0,4.56170273,-72.77646667,2062067.5076,5024785.53459,
169,7,16,ACTIVA,1,LOTE 1B,0,4.56175415,-72.77653131,2062073.1863,5024778.36606,
170,7,17,ACTIVA,1,LOTE 1B,0,4.56181511,-72.77660329,2062079.9198,5024770.38280,
171,7,18,ACTIVA,1,LOTE 1B,0,4.56186432,-72.77667160,2062085.3549,5024762.80715,
172,7,19,ACTIVA,1,LOTE 1B,0,4.56192087,-72.77674284,2062091.6014,5024754.90549,
173,7,20,ACTIVA,1,LOTE 1B,0,4.56198110,-72.77681776,2062098.2536,5024746.59650,
174,7,21,ACTIVA,1,LOTE 1B,0,4.56203545,-72.77688753,2062104.2567,5024738.85779,
175,7,22,ACTIVA,1,LOTE 1B,0,4.56208980,-72.77695658,2062110.2599,5024731.20053,
176,7,23,ACTIVA,1,LOTE 1B,0,4.56214812,-72.77702950,2062116.7012,5024723.11313,
177,7,24,ACTIVA,1,LOTE 1B,0,4.56220077,-72.77709907,2062122.5160,5024715.39729,
178,7,25,ACTIVA,1,LOTE 1B,0,4.56225906,-72.77716441,2062128.9543,5024708.15035,
179,7,26,ACTIVA,1,LOTE 1B,0,4.56231359,-72.77723633,2062134.9769,5024700.17384,
180,7,27,ACTIVA,1,LOTE 1B,0,4.56237470,-72.77730684,2062141.7266,5024692.35347,
181,7,28,ACTIVA,1,LOTE 1B,0,4.56242499,-72.77737359,2062147.2819,5024684.95045,
182,7,29,ACTIVA,1,LOTE 1B,0,4.56247614,-72.77744648,2062152.9311,5024676.86656,
183,7,30,ACTIVA,1,LOTE 1B,0,4.56254004,-72.77752286,2062159.9890,5024668.39458,
184,7,31,ACTIVA,1,LOTE 1B,0,4.56259366,-72.77758970,2062165.9111,5024660.98167,
185,7,32,ACTIVA,1,LOTE 1B,0,4.56265095,-72.77765727,2062172.2389,5024653.48720,
186,7,33,ACTIVA,1,LOTE 1B,0,4.56271044,-72.77773586,2062178.8099,5024644.77105,
187,7,34,ACTIVA,1,LOTE 1B,0,4.56276626,-72.77780050,2062184.9755,5024637.60239,
188,7,35,ACTIVA,1,LOTE 1B,0,4.56282135,-72.77786954,2062191.0598,5024629.94512,
189,7,36,ACTIVA,1,LOTE 1B,0,4.56287717,-72.77793858,2062197.2253,5024622.28782,
190,7,37,ACTIVA,1,LOTE 1B,0,4.56293152,-72.77801497,2062203.2282,5024613.81618,
191,7,38,ACTIVA,1,LOTE 1B,0,4.56298587,-72.77808034,2062209.2315,5024606.56613,
192,7,39,ACTIVA,1,LOTE 1B,0,4.56304243,-72.77815158,2062215.4781,5024598.66450,
193,7,40,ACTIVA,1,LOTE 1B,0,4.56310486,-72.77822429,2062222.3738,5024590.59978,
194,7,41,ACTIVA,1,LOTE 1B,0,4.56315848,-72.77829040,2062228.2959,5024583.26832,
195,7,42,ACTIVA,1,LOTE 1B,0,4.56321650,-72.77836385,2062234.7048,5024575.12232,
196,7,43,ERRADICADA,0,LOTE 1B,0,4.56328052,-72.77844676,2062241.7755,5024565.92716,
197,7,44,ACTIVA,1,LOTE 1B,0,4.56332659,-72.77850551,2062246.8635,5024559.41037,
198,7,45,ACTIVA,1,LOTE 1B,0,4.56338111,-72.77857320,2062252.8862,5024551.90298,
199,7,46,ACTIVA,1,LOTE 1B,0,4.56343799,-72.77864324,2062259.1686,5024544.13490,
200,7,47,ACTIVA,1,LOTE 1B,0,4.56349561,-72.77871713,2062265.5319,5024535.94005,
201,7,48,ACTIVA,1,LOTE 1B,0,4.56354702,-72.77878617,2062271.2105,5024528.28292,
202,7,52,ACTIVA,1,LOTE 1B,0,4.56383462,-72.77914249,2062302.9763,5024488.76479,
203,7,53,ACTIVA,1,LOTE 1B,0,4.56388926,-72.77920628,2062309.0120,5024481.68974,
204,7,54,ACTIVA,1,LOTE 1B,0,4.56394512,-72.77927454,2062315.1809,5024474.11891,
205,8,1,ACTIVA,1,LOTE 1B,0,4.56095223,-72.77539159,2061984.6193,5024904.76679,
206,8,2,ACTIVA,1,LOTE 1B,0,4.56100720,-72.77546074,2061990.6901,5024897.09763,
207,8,3,ACTIVA,1,LOTE 1B,0,4.56106127,-72.77552989,2061996.6629,5024889.42850,
208,8,4,ACTIVA,1,LOTE 1B,0,4.56112485,-72.77560386,2062003.6857,5024881.22430,
209,8,5,ACTIVA,1,LOTE 1B,0,4.56117989,-72.77567365,2062009.7643,5024873.48437,
